vereador;partido;situacao;votos_zona_norte;votos_total_sp;pct_dos_votos_do_vereador_na_zn;pct_do_total_zn
CARLOS AQUINO;PT;SUPLENTE;204;1267;16,10;0,02
MARI GOUVEIA;PL;SUPLENTE;204;663;30,77;0,02
PROFESSOR RONAN GOULART;PDT;NÃO ELEITO;204;240;85,00;0,02
ANTONIO PAITROCINADOREVOLTADO;PL;SUPLENTE;204;1037;19,67;0,02
GERALDO RIBEIRO;PSB;SUPLENTE;203;1669;12,16;0,02
LEANDRO CRUZ;PRTB;NÃO ELEITO;203;385;52,73;0,02
FLAVIO ALMEIDA;REPUBLICANOS;SUPLENTE;203;2657;7,64;0,02
DUDU CAMARGO;REPUBLICANOS;SUPLENTE;201;1324;15,18;0,02
MAGNATA DO LANCHE;REPUBLICANOS;SUPLENTE;199;270;73,70;0,02
MARCÃO DO ESPORTE;PV;SUPLENTE;199;569;34,97;0,02
ZITO UNIÃO TAXISTAS SP;REPUBLICANOS;SUPLENTE;197;952;20,69;0,02
MÃE SU DE NÃNÃ;PSOL;SUPLENTE;196;988;19,84;0,02
PATRICIA NUNES;REDE;SUPLENTE;195;2749;7,09;0,02
DJ VADÃO DA TOCO;PODE;SUPLENTE;195;1521;12,82;0,02
DR. IGOR PETRELIS;PRTB;NÃO ELEITO;195;430;45,35;0,02
HENRY KADIMA;PL;SUPLENTE;194;2002;9,69;0,02
JADY VERISSIMO;PSB;SUPLENTE;191;2164;8,83;0,02
ADAM MAAMARI;PL;SUPLENTE;190;1089;17,45;0,02
PASTOR MANOEL CRUZ;SOLIDARIEDADE;NÃO ELEITO;187;234;79,91;0,02
SERGIO ROBERTO;PP;SUPLENTE;182;1220;14,92;0,02
MARCIO RIBEIRO;PP;SUPLENTE;180;307;58,63;0,02
VIVIANE MORAES;PDT;NÃO ELEITO;180;493;36,51;0,02
ANTÔNIO ALVES;PSB;SUPLENTE;174;1263;13,78;0,02
TONY SANTTANA;AVANTE;NÃO ELEITO;174;1752;9,93;0,02
CAROL ROSA;NOVO;SUPLENTE;172;369;46,61;0,02
GENERAL PETERNELLI;UNIÃO;SUPLENTE;170;1729;9,83;0,02
VIVI CAPUTTI;UNIÃO;SUPLENTE;166;3089;5,37;0,02
DALTON ALVES;NOVO;SUPLENTE;162;286;56,64;0,02
MENDES;PSDB;NÃO ELEITO;161;191;84,29;0,02
MARCELO VIOLA;UP;NÃO ELEITO;161;598;26,92;0,02
DANILO BIFONE;PDT;NÃO ELEITO;156;1211;12,88;0,02
SORAIA MARTINS;MOBILIZA;NÃO ELEITO;156;1567;9,96;0,02
FIRMINO CORDEIRO;SOLIDARIEDADE;NÃO ELEITO;155;184;84,24;0,02
VI MORAES;AVANTE;NÃO ELEITO;154;209;73,68;0,02
ITO;SOLIDARIEDADE;NÃO ELEITO;153;299;51,17;0,01
CAIO CABELEIRA;PODE;SUPLENTE;151;1600;9,44;0,01
SILVIO OLIVEIRA;PSD;SUPLENTE;151;8918;1,69;0,01
BISPA ZILDENE CARVALHO;PT;SUPLENTE;151;1009;14,97;0,01
DUDU CATADOR;PDT;NÃO ELEITO;149;629;23,69;0,01
SANDRA RAMALHOSO;PSOL;SUPLENTE;149;1173;12,70;0,01
LINDA BASILIO;PL;SUPLENTE;149;291;51,20;0,01
GARRY DO POVO;PT;SUPLENTE;149;420;35,48;0,01
JOÃO GARCIA;MOBILIZA;NÃO ELEITO;147;834;17,63;0,01
PROFESSORA REVYEUX;PSOL;SUPLENTE;147;935;15,72;0,01
CESINHA;AVANTE;NÃO ELEITO;147;1179;12,47;0,01
CLAUDINHO DE OLIVEIRA;PDT;NÃO ELEITO;146;641;22,78;0,01
WELINGTON CAMARGO;AVANTE;NÃO ELEITO;145;746;19,44;0,01
PROF. MÁRCIO;SOLIDARIEDADE;NÃO ELEITO;145;224;64,73;0,01
MC TIOZINHO;SOLIDARIEDADE;NÃO ELEITO;145;155;93,55;0,01
ROBERTO VALENÇA;MDB;SUPLENTE;143;1710;8,36;0,01
MUKINHA;NOVO;SUPLENTE;142;240;59,17;0,01
IRENISE DE SOUSA;DC;NÃO ELEITO;140;314;44,59;0,01
DOMENICO CARONE;PDT;NÃO ELEITO;139;508;27,36;0,01
VERONICA;PDT;NÃO ELEITO;139;162;85,80;0,01
EVANDO REIS ;PDT;NÃO ELEITO;139;484;28,72;0,01
MÃE TELMA;PC do B;SUPLENTE;137;643;21,31;0,01
ALFREDO LIMA;NOVO;SUPLENTE;136;252;53,97;0,01
CARLOS CUNHA;CIDADANIA;NÃO ELEITO;134;208;64,42;0,01
DENISE DO  RANCHO;REPUBLICANOS;SUPLENTE;133;3545;3,75;0,01
CABO DAVID;NOVO;SUPLENTE;132;279;47,31;0,01
ADERITO DUTRA;PSOL;SUPLENTE;131;883;14,84;0,01
ROGÉRIO GRAFT;MDB;SUPLENTE;129;4117;3,13;0,01
LAERCIO DOS PASSAGEIROS;MDB;SUPLENTE;128;568;22,54;0,01
DAL SILVA;PSOL;SUPLENTE;127;1913;6,64;0,01
MARCELLA SIMÕES;MDB;SUPLENTE;127;1279;9,93;0,01
GUSTAVO MATOS;UP;NÃO ELEITO;124;798;15,54;0,01
MULHERES EM AÇÃO COLETIVA;PSB;SUPLENTE;123;732;16,80;0,01
AZZONI;REPUBLICANOS;SUPLENTE;121;736;16,44;0,01
CABO VIVIANE PALMERO;PRTB;NÃO ELEITO;121;1194;10,13;0,01
LEILIANE MULHER MARAVILHA;SOLIDARIEDADE;NÃO ELEITO;120;187;64,17;0,01
DR. DAVID ZYLBERGELD NETO;PL;SUPLENTE;119;999;11,91;0,01
PASTORA DO CARMO MENDONZA;DC;NÃO ELEITO;117;138;84,78;0,01
MARCUS VINICIUS PUJOL;PT;SUPLENTE;116;566;20,49;0,01
JOSMAR DO PRATO;PSDB;NÃO ELEITO;115;424;27,12;0,01
GERALDO GERALDINHO;MOBILIZA;NÃO ELEITO;114;597;19,10;0,01
ROBERTA OLIVEIRA;NOVO;SUPLENTE;113;302;37,42;0,01
PROF AMARO;AVANTE;NÃO ELEITO;113;348;32,47;0,01
PROFESSORA FÁTIMA;PSB;SUPLENTE;112;622;18,01;0,01
EDUARDO DOURADO;PRD;NÃO ELEITO;111;806;13,77;0,01
DIEGO CASTRO;PL;SUPLENTE;111;675;16,44;0,01
TADALA;PP;SUPLENTE;110;556;19,78;0,01
DANIEL DA ORPAS;MDB;SUPLENTE;109;2012;5,42;0,01
PROF HERBERT MELO;PSB;SUPLENTE;109;2202;4,95;0,01
ROQUE COLETIVO PSB UNIDOS SP;PSB;SUPLENTE;109;2339;4,66;0,01
GUILHERME GONZALEZ;REPUBLICANOS;SUPLENTE;106;2820;3,76;0,01
VALADÃO DA NORTE;UNIÃO;SUPLENTE;105;183;57,38;0,01
DRA PATRICIA SILVESTRI;MDB;SUPLENTE;104;319;32,60;0,01
BIANCA PIMENTA;PRTB;NÃO ELEITO;104;590;17,63;0,01
CAROL DO PENTEADO;MDB;SUPLENTE;104;159;65,41;0,01
BOMBEIRO CAPUTO;DC;NÃO ELEITO;103;183;56,28;0,01
CELSO SILVINO COLET. RENOVAÇÃO;PP;SUPLENTE;103;2132;4,83;0,01
FELIPE CEGUINHO;DC;NÃO ELEITO;103;266;38,72;0,01
PRETO DE DIREITA;NOVO;SUPLENTE;100;434;23,04;0,01
MAICON SULIVAN;MOBILIZA;NÃO ELEITO;99;591;16,75;0,01
TATI MALHEIROS;NOVO;SUPLENTE;97;1766;5,49;0,01
CINTIA RACHAS;PP;SUPLENTE;96;348;27,59;0,01
VINICIUS SCHAEFER;PODE;SUPLENTE;96;776;12,37;0,01
EDNELSON PACHECO;PDT;NÃO ELEITO;95;2487;3,82;0,01
SIDNEY STAHL;NOVO;SUPLENTE;95;716;13,27;0,01
THIAGO AUGUSTO;PODE;SUPLENTE;92;112;82,14;0,01
CORONEL CASTRO;SOLIDARIEDADE;NÃO ELEITO;92;594;15,49;0,01
CAPITÃO AMÉRICA DE PAULA;PODE;SUPLENTE;92;4382;2,10;0,01
CYNTHIA MICHELS;PSD;SUPLENTE;92;952;9,66;0,01
SOLANGE BENEIT;PSOL;SUPLENTE;91;539;16,88;0,01
MALLU MATTOS;UNIÃO;SUPLENTE;89;1281;6,95;0,01
DR TITO MUDA SP;PSB;SUPLENTE;89;1292;6,89;0,01
TANIA SINAL VERDE PARA OS PCDS;PRD;NÃO ELEITO;89;1025;8,68;0,01
TARGA;PSDB;NÃO ELEITO;88;228;38,60;0,01
FATIMA ALVES;PL;SUPLENTE;87;952;9,14;0,01
TAKEDA;PRD;NÃO ELEITO;87;801;10,86;0,01
PEDAGOGA MARTA LOPES;PSOL;SUPLENTE;87;1262;6,89;0,01
CHRISTIAN FABALET;PDT;NÃO ELEITO;87;1015;8,57;0,01
PASTOR GUINA;PL;SUPLENTE;87;1025;8,49;0,01
PASTOR EDY DA HORA;DC;NÃO ELEITO;86;92;93,48;0,01
RAMIRO MARINHO;AVANTE;NÃO ELEITO;86;510;16,86;0,01
DRA NOEMIA FONSECA;DC;NÃO ELEITO;85;135;62,96;0,01
ROBERTO PIRES;PL;SUPLENTE;85;1600;5,31;0,01
CLEBER JACOB;SOLIDARIEDADE;NÃO ELEITO;85;440;19,32;0,01
NEIA ARANTES;PSDB;NÃO ELEITO;85;1075;7,91;0,01
CARMEM PORTELA;PODE;SUPLENTE;85;593;14,33;0,01
FABÍOLA TAXISTA;AVANTE;NÃO ELEITO;84;1006;8,35;0,01
ALEX FERNANDES;PSOL;SUPLENTE;84;788;10,66;0,01
FERNANDA SCATOLIN;REPUBLICANOS;SUPLENTE;84;222;37,84;0,01
AP WILLY;REPUBLICANOS;SUPLENTE;83;1808;4,59;0,01
CARLINHOS SILVA;PP;SUPLENTE;83;765;10,85;0,01
DR LUCÍLIO FERREIRA;PSOL;SUPLENTE;82;863;9,50;0,01
MUNIR NISS PATRIOTA;PL;SUPLENTE;82;1071;7,66;0,01
EDSON PÁSSARO;PSOL;SUPLENTE;81;1423;5,69;0,01
PROF LUCAS CARVENTE;UP;NÃO ELEITO;80;842;9,50;0,01
MOSHÉ FARIAS;PP;SUPLENTE;80;118;67,80;0,01
PEDRO DA IA;REDE;SUPLENTE;79;627;12,60;0,01
SIGMAR DUPRE;MOBILIZA;NÃO ELEITO;79;723;10,93;0,01
MARZAGÃO;PSD;SUPLENTE;79;2638;2,99;0,01
JULIANA ROSA;PL;SUPLENTE;78;590;13,22;0,01
VANESSA LELLOS;PRTB;NÃO ELEITO;78;711;10,97;0,01
JOÃO PEDREIRO;PRD;NÃO ELEITO;77;80;96,25;0,01
ZÉ TURIN;PRD;NÃO ELEITO;77;5439;1,42;0,01
ANDERSON CRUZ ;PDT;NÃO ELEITO;77;261;29,50;0,01
ITAMAR TAVARES;PSB;SUPLENTE;76;589;12,90;0,01
PADRE NEY SANTOS;MOBILIZA;NÃO ELEITO;76;344;22,09;0,01
BRUNO SATO;REPUBLICANOS;SUPLENTE;75;500;15,00;0,01
FRANCISCO JOSÉ;MOBILIZA;NÃO ELEITO;75;162;46,30;0,01
NAZARÉ BRAGA;PSB;SUPLENTE;74;547;13,53;0,01
SEU GABIN DA CASA DO NORTE;AVANTE;NÃO ELEITO;74;310;23,87;0,01
LEANDRO FREITAS;PODE;SUPLENTE;74;1801;4,11;0,01
AMANDA SANTOS;PRD;NÃO ELEITO;73;915;7,98;0,01
NILCEIA BIANCHINI;NOVO;SUPLENTE;73;199;36,68;0,01
DRA JOSI MENDONÇA;PP;SUPLENTE;73;130;56,15;0,01
BOMBEIRO MOREIRA;SOLIDARIEDADE;NÃO ELEITO;73;211;34,60;0,01
PROF. LINDBERG;DC;NÃO ELEITO;73;780;9,36;0,01
CHRISTIAN LOMBARDI;SOLIDARIEDADE;NÃO ELEITO;73;1667;4,38;0,01
LUÍSA PEREIRA;PSOL;SUPLENTE;72;297;24,24;0,01
PROF MARCIA RAICHER;PSD;SUPLENTE;72;469;15,35;0,01
MANDI DO ROMPER O PODER;PSTU;NÃO ELEITO;72;329;21,88;0,01
BARSOTTI;PRTB;NÃO ELEITO;71;640;11,09;0,01
MARY TEX;MDB;SUPLENTE;71;872;8,14;0,01
ATAIDE DA BANCADA RESISTA ;PDT;NÃO ELEITO;70;572;12,24;0,01
JULIO VERA CRUZ;MDB;SUPLENTE;69;4142;1,67;0,01
ELI ASSISTENTE SOCIAL;PT;SUPLENTE;69;3227;2,14;0,01
DR JADSON MORAES;PSB;SUPLENTE;68;2398;2,84;0,01
RONALDO LINO;PSB;SUPLENTE;68;1065;6,38;0,01
PROF IDALICIO DO COLETIVO LUTE;PSOL;SUPLENTE;68;675;10,07;0,01
JAIR LEAL - CARTA ABERTA;AVANTE;NÃO ELEITO;68;151;45,03;0,01
KAKO NOVELLI;PODE;SUPLENTE;68;655;10,38;0,01
PROFESSOR ADÃO MARIANO;PSDB;NÃO ELEITO;68;2246;3,03;0,01
AUGUSTO RABELO;PSDB;NÃO ELEITO;67;144;46,53;0,01
