vereador;partido;situacao;votos_zona_norte;votos_total_sp;pct_dos_votos_do_vereador_na_zn;pct_do_total_zn
SUSANA LAMBERT;PSD;SUPLENTE;7;77;9,09;0,00
ANTONIO CARLOS PEGADINHA;DC;NÃO ELEITO;7;39;17,95;0,00
BETH DA COMUNIDADE;PODE;SUPLENTE;7;395;1,77;0,00
FABINHO ROCHA;AVANTE;NÃO ELEITO;7;460;1,52;0,00
CIDINHA CARAÇA;PL;SUPLENTE;7;161;4,35;0,00
ALZIRA FORÇA;PP;NÃO ELEITO;7;55;12,73;0,00
L FRANÇA;NOVO;SUPLENTE;6;63;9,52;0,00
TELIS RIOS 13DASUL;SOLIDARIEDADE;NÃO ELEITO;6;75;8,00;0,00
FABRICIA METNE;REPUBLICANOS;SUPLENTE;6;177;3,39;0,00
EDUARDO SILVA;PRTB;NÃO ELEITO;6;137;4,38;0,00
FÁBIO MOREIRA;AVANTE;NÃO ELEITO;6;264;2,27;0,00
BETO DA LESTE;AVANTE;NÃO ELEITO;6;161;3,73;0,00
MAY PEIXOTO;PRD;NÃO ELEITO;6;117;5,13;0,00
BÊNER;SOLIDARIEDADE;NÃO ELEITO;6;223;2,69;0,00
NEUMA VIANA;MOBILIZA;NÃO ELEITO;6;89;6,74;0,00
ANDREZINHO DO VERGUEIRO;SOLIDARIEDADE;NÃO ELEITO;6;604;0,99;0,00
FACCAS;PDT;NÃO ELEITO;6;44;13,64;0,00
ODILIA SOUSA;PRD;NÃO ELEITO;6;246;2,44;0,00
TIA CONCEIÇÃO DA EMEI;CIDADANIA;NÃO ELEITO;5;211;2,37;0,00
SÉRGIO FERNANDES;SOLIDARIEDADE;NÃO ELEITO;5;370;1,35;0,00
JANIEIRE SILVA;NOVO;SUPLENTE;5;99;5,05;0,00
PASTOR CONSTANTINO;AVANTE;NÃO ELEITO;5;99;5,05;0,00
DANIEL CORDEIRO RESOLVE;PSDB;NÃO ELEITO;5;75;6,67;0,00
PROFESSORA MARILENE ADÉLIA;PDT;NÃO ELEITO;5;851;0,59;0,00
VAL DUTRA PODÓLOGA;PODE;SUPLENTE;5;722;0,69;0,00
MÁRCINHA ARAÚJO;MOBILIZA;NÃO ELEITO;5;191;2,62;0,00
VITÓRIA MARIANO;SOLIDARIEDADE;NÃO ELEITO;5;71;7,04;0,00
UBIRATAN;PRD;NÃO ELEITO;5;210;2,38;0,00
PROFESSOR ALVES;PRD;NÃO ELEITO;5;1158;0,43;0,00
VAGNER FERNANDES;SOLIDARIEDADE;NÃO ELEITO;5;1470;0,34;0,00
LINA SANTOS;PSOL;SUPLENTE;5;178;2,81;0,00
REGINA MARIANO;AVANTE;NÃO ELEITO;5;25;20,00;0,00
BRÍGIDA CAIRES;SOLIDARIEDADE;NÃO ELEITO;5;72;6,94;0,00
TONINHO ADB;PL;SUPLENTE;5;280;1,79;0,00
MARCIA MARECO;PP;SUPLENTE;5;508;0,98;0,00
ANDERSON DALONSO;MOBILIZA;NÃO ELEITO;5;162;3,09;0,00
MANOEL DE FARIAS;PRD;NÃO ELEITO;5;252;1,98;0,00
RONALDO BARRETO;PRTB;NÃO ELEITO;5;192;2,60;0,00
MARLENE RAMOS;PRD;NÃO ELEITO;4;146;2,74;0,00
DORINHA CHAVES;PP;SUPLENTE;4;18;22,22;0,00
RONI DA LIMPEZA;PSD;SUPLENTE;4;999;0,40;0,00
TERESA EYMAEL;DC;NÃO ELEITO;4;20;20,00;0,00
JÚLIO RODRIGUES;UNIÃO;SUPLENTE;4;74;5,41;0,00
ARMANDO BARBOSA;PSDB;NÃO ELEITO;4;167;2,40;0,00
EDY SIRINO;MOBILIZA;NÃO ELEITO;4;29;13,79;0,00
FABIOLA SANTELLO;SOLIDARIEDADE;NÃO ELEITO;4;255;1,57;0,00
PAULO ZEFERINO;PRTB;NÃO ELEITO;4;241;1,66;0,00
DAISY MUNIZ;PCO;NÃO ELEITO;4;26;15,38;0,00
ELI GARI;MOBILIZA;NÃO ELEITO;4;89;4,49;0,00
DAOUD ZAPAROLI;PCO;NÃO ELEITO;4;30;13,33;0,00
SILVIA SOL;PRD;NÃO ELEITO;4;199;2,01;0,00
HILDA FURACÃO;CIDADANIA;NÃO ELEITO;4;165;2,42;0,00
REGIS;DC;NÃO ELEITO;4;25;16,00;0,00
VIVIAN MANTOAN;AVANTE;NÃO ELEITO;4;104;3,85;0,00
BISPA JUSTA;DC;NÃO ELEITO;4;98;4,08;0,00
ANDERSON ALFA;MOBILIZA;NÃO ELEITO;3;79;3,80;0,00
LUIZÃO DA COMUNIDADE;AVANTE;NÃO ELEITO;3;575;0,52;0,00
ROBERIO BENEDITO;PMB;NÃO ELEITO;3;122;2,46;0,00
JEFFERSON SILVA;DC;NÃO ELEITO;3;37;8,11;0,00
VERA PRAJANO;PSDB;NÃO ELEITO;3;17;17,65;0,00
DEUSDETE ASSUNÇÃO;AVANTE;NÃO ELEITO;3;400;0,75;0,00
KEKINHA BUDA;UNIÃO;SUPLENTE;3;989;0,30;0,00
VERA FRANÇA;AGIR;NÃO ELEITO;3;63;4,76;0,00
PAULO CAINÉ;MOBILIZA;NÃO ELEITO;3;190;1,58;0,00
NATTAN FERREIRA;DC;NÃO ELEITO;3;78;3,85;0,00
DAMACENA;PDT;NÃO ELEITO;3;348;0,86;0,00
MARCELO BRASIL;PDT;NÃO ELEITO;2;252;0,79;0,00
LENYNHA OLIVEIRA;PRD;NÃO ELEITO;2;100;2,00;0,00
ELIEL ALVES;PODE;SUPLENTE;2;907;0,22;0,00
PATRICIA TANI;DC;NÃO ELEITO;2;15;13,33;0,00
RAIMUNDO NONATO;PRTB;NÃO ELEITO;2;433;0,46;0,00
DRA. ROSANGELA MAGLIARELLI;MOBILIZA;NÃO ELEITO;2;82;2,44;0,00
LUANA TAKADA;PODE;SUPLENTE;2;112;1,79;0,00
MADALENA DADA;PRD;NÃO ELEITO;2;96;2,08;0,00
EDITE CUNHA;PSDB;NÃO ELEITO;2;17;11,76;0,00
DRA. MARISTELA;DC;NÃO ELEITO;2;9;22,22;0,00
MAGRÃO;PMB;NÃO ELEITO;2;6;33,33;0,00
SILVIO ABENÇOADO ;PDT;NÃO ELEITO;2;277;0,72;0,00
MARISA BIERRENBACH BLANDY;PSD;SUPLENTE;2;104;1,92;0,00
ERIC COSTA;PRD;NÃO ELEITO;1;353;0,28;0,00
PASTORA CIDA TUTIA;MOBILIZA;NÃO ELEITO;1;45;2,22;0,00
MAURO SOUZA;PCO;NÃO ELEITO;1;10;10,00;0,00
DRA CRISTINA SANTIAGO;PRD;NÃO ELEITO;1;18;5,56;0,00
DRA QUELIN SOBIESKI;AVANTE;NÃO ELEITO;1;113;0,88;0,00
ADONIAS VIEIRA;DC;NÃO ELEITO;1;158;0,63;0,00
CARLOS AUGUSTO;PCO;NÃO ELEITO;1;25;4,00;0,00
BP. SONIA RIBEIRO;PRD;NÃO ELEITO;1;16;6,25;0,00
IZAIAS MOTORISTA;AGIR;NÃO ELEITO;1;177;0,56;0,00
JORGE BALEIA;MOBILIZA;NÃO ELEITO;1;193;0,52;0,00
BIRA;DC;NÃO ELEITO;1;72;1,39;0,00
ITAMAR BARONI;MOBILIZA;NÃO ELEITO;1;194;0,52;0,00
ROSILEI AMARAL;PMB;NÃO ELEITO;1;10;10,00;0,00
